09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 133] Connected!
09:00:13: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE ALTITUDE: 1
09:00:14: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE ALTITUDE: -1
09:00:17: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 63.43494882292201
09:00:17: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0
09:00:18: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 116.56505117707799
09:00:18: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0
09:00:19: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 63.43494882292201
09:00:19: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0
09:00:20: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 26.565051177077994
09:00:20: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0
09:00:21: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0
09:00:21: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 45.0
09:00:22: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 90.0
09:00:22: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: 135.0
09:00:23: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -26.565051177077994
09:00:23: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.0
09:00:24: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0
09:00:24: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.0
09:00:25: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0
09:00:25: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -135.0
09:00:26: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -63.43494882292201
09:00:26: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0
09:00:27: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -116.56505117707799
09:00:27: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -45.00000000000005
09:00:28: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -63.43494882292201
09:00:28: [INFO] [/Users/user/Desktop/VsCode/WARG/Onboarding/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 80] CHANGE YAW: -90.0
